student,course,activity,room,day,time
Mattijs Baudoin,Interactie-ontwerp,h1,A1.08,Fri,11
Mattijs Baudoin,Lineaire Algebra,h2,A1.10,Fri,15
Mattijs Baudoin,Compilerbouw,p1,A1.08,Wed,15
Mattijs Baudoin,Algoritmen en complexiteit,w1,B0.201,Tue,11
Mattijs Baudoin,Algoritmen en complexiteit,p1,A1.06,Mon,15
Mattijs Baudoin,Compilerbouw,h1,B0.201,Wed,13
Ravi Bauer,Collectieve Intelligentie,h2,A1.06,Fri,11
Ravi Bauer,Netwerken en systeembeveiliging,p1,A1.04,Thu,11
Ravi Bauer,Collectieve Intelligentie,h3,A1.04,Fri,9
Ravi Bauer,Collectieve Intelligentie,h1,A1.06,Thu,13
Ravi Bauer,Collectieve Intelligentie,p1,A1.04,Tue,9
Ravi Bauer,Calculus 2,h1,A1.10,Tue,9
Ravi Bauer,Calculus 2,w1,B0.201,Fri,13
Ravi Bauer,Collectieve Intelligentie,w1,A1.10,Thu,15
Wiert Becht,Project Numerical Recipes,p1,C0.110,Mon,13
Kyllian Bekkema,Advanced Heuristics,h1,C0.110,Wed,11
Kyllian Bekkema,Reflectie op de digitale cultuur,w1,C1.112,Thu,15
Kyllian Bekkema,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Kyllian Bekkema,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Kyllian Bekkema,Netwerken en systeembeveiliging,p1,A1.08,Mon,9
Kyllian Bekkema,Advanced Heuristics,p1,A1.06,Wed,11
Marrie Bekker,Collectieve Intelligentie,h2,A1.06,Fri,11
Marrie Bekker,Collectieve Intelligentie,p1,C0.110,Mon,9
Marrie Bekker,Collectieve Intelligentie,h3,A1.04,Fri,9
Marrie Bekker,Netwerken en systeembeveiliging,p1,C1.112,Mon,15
Marrie Bekker,Collectieve Intelligentie,h1,A1.06,Thu,13
Marrie Bekker,Collectieve Intelligentie,w1,C1.112,Thu,11
Marrie Bekker,Zoeken sturen en bewegen,p1,B0.201,Fri,15
Marrie Bekker,Calculus 2,h1,A1.10,Tue,9
Marrie Bekker,Calculus 2,w1,B0.201,Fri,13
Angèle Berentsen,Advanced Heuristics,h1,C0.110,Wed,11
Angèle Berentsen,Reflectie op de digitale cultuur,w1,C1.112,Tue,13
Angèle Berentsen,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Angèle Berentsen,Algoritmen en complexiteit,h1,C0.110,Mon,17
Angèle Berentsen,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Angèle Berentsen,Kansrekenen 2,h1,C0.110,Mon,11
Angèle Berentsen,Advanced Heuristics,p1,A1.06,Wed,11
Angèle Berentsen,Algoritmen en complexiteit,p1,C0.110,Tue,9
Angèle Berentsen,Algoritmen en complexiteit,w1,B0.201,Thu,13
Angèle Berentsen,Kansrekenen 2,h2,A1.04,Fri,15
Emil Bergmans,Netwerken en systeembeveiliging,p1,A1.04,Thu,11
Emil Bergmans,Algoritmen en complexiteit,h1,C0.110,Mon,17
Emil Bergmans,Kansrekenen 2,h1,C0.110,Mon,11
Emil Bergmans,Project Genetic Algorithms,p1,A1.08,Fri,13
Emil Bergmans,Algoritmen en complexiteit,w1,B0.201,Tue,11
Emil Bergmans,Algoritmen en complexiteit,p1,A1.06,Mon,15
Emil Bergmans,Kansrekenen 2,h2,A1.04,Fri,15
Tian Berkers,Advanced Heuristics,h1,C0.110,Wed,11
Tian Berkers,Webprogrammeren en databases,h2,C1.112,Wed,9
Tian Berkers,Webprogrammeren en databases,w1,B0.201,Fri,9
Tian Berkers,Webprogrammeren en databases,h1,C1.112,Tue,9
Tian Berkers,Advanced Heuristics,p1,A1.10,Thu,9
Tian Berkers,Webprogrammeren en databases,p1,A1.08,Tue,11
Tian Berkers,Calculus 2,w1,A1.08,Fri,9
Tian Berkers,Calculus 2,h1,A1.10,Tue,9
Annique Berrevoets,Software engineering,p1,A1.08,Tue,15
Annique Berrevoets,Software engineering,w1,C0.110,Fri,11
Annique Berrevoets,Netwerken en systeembeveiliging,p1,A1.08,Mon,9
Annique Berrevoets,Software engineering,h1,B0.201,Mon,13
Theadora Besemer,Data Mining,h2,C0.110,Thu,17
Theadora Besemer,Data Mining,h1,C1.112,Mon,13
Theadora Besemer,Data Mining,p1,A1.06,Fri,9
Theadora Besemer,Data Mining,w1,B0.201,Tue,15
Abdallah Beulen,Autonomous Agents 2,w1,A1.04,Mon,13
Abdallah Beulen,Autonomous Agents 2,p1,A1.04,Thu,15
Abdallah Beulen,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Abdallah Beulen,Autonomous Agents 2,h1,A1.06,Tue,15
Abdallah Beulen,Software engineering,h1,B0.201,Mon,13
Abdallah Beulen,Analysemethoden en -technieken,h1,A1.10,Tue,15
Abdallah Beulen,Autonomous Agents 2,h2,C0.110,Tue,17
Abdallah Beulen,Heuristieken 1,h1,A1.08,Mon,13
Abdallah Beulen,Software engineering,w1,C0.110,Fri,11
Abdallah Beulen,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Abdallah Beulen,Reflectie op de digitale cultuur,w1,C1.112,Fri,9
Abdallah Beulen,Heuristieken 1,w1,A1.08,Wed,9
Abdallah Beulen,Software engineering,p1,A1.04,Wed,13
Eltjo Beunen,Software engineering,p1,A1.08,Tue,15
Eltjo Beunen,Reflectie op de digitale cultuur,w1,C1.112,Thu,15
Eltjo Beunen,Software engineering,w1,C0.110,Fri,11
Eltjo Beunen,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Eltjo Beunen,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Eltjo Beunen,Software engineering,h1,B0.201,Mon,13
Saba Bhaggoe,Algoritmen en complexiteit,h1,C0.110,Mon,17
Saba Bhaggoe,Kansrekenen 2,h1,C0.110,Mon,11
Saba Bhaggoe,Programmeren in Java 2,p1,A1.10,Wed,15
Saba Bhaggoe,Algoritmen en complexiteit,p1,C0.110,Tue,9
Saba Bhaggoe,Algoritmen en complexiteit,w1,B0.201,Thu,13
Saba Bhaggoe,Kansrekenen 2,h2,A1.04,Fri,15
Ella Bischoff,Collectieve Intelligentie,h2,A1.06,Fri,11
Ella Bischoff,Collectieve Intelligentie,h3,A1.04,Fri,9
Ella Bischoff,Collectieve Intelligentie,h1,A1.06,Thu,13
Ella Bischoff,Collectieve Intelligentie,p1,C0.110,Mon,9
Ella Bischoff,Collectieve Intelligentie,w1,A1.10,Thu,15
Perry Blijleven,Project Numerical Recipes,p1,B0.201,Mon,11
Thyrza Blik,Lineaire Algebra,h2,A1.10,Fri,15
Thyrza Blik,Lineaire Algebra,h1,C1.112,Tue,11
Jarik Blikman,Data Mining,h2,C0.110,Thu,17
Jarik Blikman,Heuristieken 2,h1,A1.04,Tue,15
Jarik Blikman,Interactie-ontwerp,h2,B0.201,Thu,9
Jarik Blikman,Data Mining,w1,B0.201,Wed,9
Jarik Blikman,Data Mining,h1,C1.112,Mon,13
Jarik Blikman,Netwerken en systeembeveiliging,p1,C1.112,Mon,15
Jarik Blikman,Bioinformatica,h2,B0.201,Mon,15
Jarik Blikman,Heuristieken 2,w1,A1.04,Wed,9
Jarik Blikman,Interactie-ontwerp,h1,A1.08,Fri,11
Jarik Blikman,Bioinformatica,w1,C1.112,Thu,9
Jarik Blikman,Bioinformatica,h1,C0.110,Fri,13
Jarik Blikman,Bioinformatica,h3,A1.10,Mon,11
Jarik Blikman,Bioinformatica,p1,C1.112,Fri,15
Jarik Blikman,Data Mining,p1,B0.201,Thu,15
Monika Blikman,Informatie- en organisatieontwerp,p1,A1.04,Fri,11
Monika Blikman,Informatie- en organisatieontwerp,h1,A1.06,Tue,11
Monika Blikman,Netwerken en systeembeveiliging,p1,A1.04,Thu,11
Monika Blikman,Informatie- en organisatieontwerp,h2,C0.110,Tue,13
Monika Blikman,Informatie- en organisatieontwerp,w1,B0.201,Mon,9
Monika Blikman,Kansrekenen 2,h1,C0.110,Mon,11
Monika Blikman,Analysemethoden en -technieken,h1,A1.10,Tue,15
Monika Blikman,Kansrekenen 2,h2,A1.04,Fri,15
Marco Bloemert,Collectieve Intelligentie,p1,B0.201,Wed,15
Marco Bloemert,Collectieve Intelligentie,h2,A1.06,Fri,11
Marco Bloemert,Collectieve Intelligentie,h3,A1.04,Fri,9
Marco Bloemert,Collectieve Intelligentie,h1,A1.06,Thu,13
Marco Bloemert,Collectieve Intelligentie,w1,C1.112,Thu,11
Anjana Bloemsma,Compilerbouw (practicum),p1,A1.10,Thu,11
Guilliano Blomsma,Webprogrammeren en databases,h2,C1.112,Wed,9
Guilliano Blomsma,Webprogrammeren en databases,w1,B0.201,Fri,9
Guilliano Blomsma,Webprogrammeren en databases,h1,C1.112,Tue,9
Guilliano Blomsma,Project Genetic Algorithms,p1,A1.06,Mon,11
Guilliano Blomsma,Webprogrammeren en databases,p1,A1.10,Mon,9
Lenne Boateng,Compilerbouw,h2,A1.06,Mon,9
Lenne Boateng,Compilerbouw,w1,A1.08,Thu,11
Lenne Boateng,Compilerbouw,p1,A1.08,Wed,15
Lenne Boateng,Machine Learning,h2,A1.10,Mon,13
Lenne Boateng,Compilerbouw,h1,B0.201,Wed,13
Lenne Boateng,Machine Learning,h1,C0.110,Wed,15
Amadou Boekema,Interactie-ontwerp,h2,B0.201,Thu,9
Amadou Boekema,Compilerbouw,h2,A1.06,Mon,9
Amadou Boekema,Compilerbouw,w1,A1.08,Thu,11
Amadou Boekema,Interactie-ontwerp,h1,A1.08,Fri,11
Amadou Boekema,Compilerbouw,p1,A1.10,Mon,15
Amadou Boekema,Kansrekenen 2,h1,C0.110,Mon,11
Amadou Boekema,Kansrekenen 2,h2,A1.04,Fri,15
Amadou Boekema,Compilerbouw,h1,B0.201,Wed,13
Armin Bol,Analysemethoden en -technieken,h1,A1.10,Tue,15
Armin Bol,Project Genetic Algorithms,p1,C0.110,Tue,15
Rayn Bolding,Moderne Databases,p1,A1.04,Thu,13
Rayn Bolding,Moderne Databases,h1,C0.110,Thu,9
Rayn Bolding,Moderne Databases,w1,A1.04,Wed,15
Jeremey Bontenbal,Reflectie op de digitale cultuur,w1,C1.112,Thu,15
Jeremey Bontenbal,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Jeremey Bontenbal,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Jeremey Bontenbal,Kansrekenen 2,h1,C0.110,Mon,11
Jeremey Bontenbal,Kansrekenen 2,h2,A1.04,Fri,15
Tariq Bood,Programmeren in Java 2,p1,A1.10,Tue,13
Hiba Boogert,Calculus 2,w1,A1.08,Fri,9
Hiba Boogert,Calculus 2,h1,A1.10,Tue,9
Hiba Boogert,Netwerken en systeembeveiliging,p1,A1.06,Wed,9
Kely Borg,Programmeren in Java 2,p1,A1.10,Tue,11
Ken Borsboom,Reflectie op de digitale cultuur,w1,C1.112,Thu,15
Ken Borsboom,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Ken Borsboom,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Narin Boshuis,Algoritmen en complexiteit,p1,A1.06,Mon,15
Narin Boshuis,Algoritmen en complexiteit,w1,B0.201,Thu,13
Narin Boshuis,Algoritmen en complexiteit,h1,C0.110,Mon,17
Rudolph Bosman,Calculus 2,h1,A1.10,Tue,9
Rudolph Bosman,Calculus 2,w1,B0.201,Fri,13
Jael Boutkan,Zoeken sturen en bewegen,p1,A1.04,Mon,9
Jael Boutkan,Calculus 2,w1,A1.08,Fri,9
Jael Boutkan,Calculus 2,h1,A1.10,Tue,9
Resi Braamhaar,Zoeken sturen en bewegen,p1,A1.04,Tue,13
Hanne Brans,Technology for games,h2,C0.110,Mon,15
Hanne Brans,Reflectie op de digitale cultuur,w1,C1.112,Thu,15
Hanne Brans,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Hanne Brans,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Hanne Brans,Technology for games,h1,A1.08,Mon,11
Hanne Brans,Analysemethoden en -technieken,h1,A1.10,Tue,15
Hanne Brans,Technology for games,w1,C1.112,Wed,13
Cyrina Brasser,Project Numerical Recipes,p1,A1.08,Tue,13
Cyrina Brasser,Bioinformatica,h2,B0.201,Mon,15
Cyrina Brasser,Bioinformatica,w1,C1.112,Thu,9
Cyrina Brasser,Analysemethoden en -technieken,h1,A1.10,Tue,15
Cyrina Brasser,Bioinformatica,h1,C0.110,Fri,13
Cyrina Brasser,Bioinformatica,h3,A1.10,Mon,11
Cyrina Brasser,Bioinformatica,p1,A1.06,Tue,9
Femia Brink,Collectieve Intelligentie,h2,A1.06,Fri,11
Femia Brink,Collectieve Intelligentie,h3,A1.04,Fri,9
Femia Brink,Collectieve Intelligentie,h1,A1.06,Thu,13
Femia Brink,Collectieve Intelligentie,p1,A1.04,Tue,9
Femia Brink,Architectuur en computerorganisatie,h2,A1.06,Thu,9
Femia Brink,Architectuur en computerorganisatie,h1,A1.08,Wed,13
Femia Brink,Collectieve Intelligentie,w1,B0.201,Tue,9
Renze Brink,Webprogrammeren en databases,h2,C1.112,Wed,9
Renze Brink,Webprogrammeren en databases,h1,C1.112,Tue,9
Renze Brink,Webprogrammeren en databases,w1,C0.110,Fri,17
Renze Brink,Kansrekenen 2,h1,C0.110,Mon,11
Renze Brink,Kansrekenen 2,h2,A1.04,Fri,15
Renze Brink,Webprogrammeren en databases,p1,A1.10,Mon,9
Renze Brink,Calculus 2,w1,A1.08,Fri,9
Renze Brink,Calculus 2,h1,A1.10,Tue,9
Nyncke Brinks,Kansrekenen 2,h1,C0.110,Mon,11
Nyncke Brinks,Kansrekenen 2,h2,A1.04,Fri,15
Wulfert Brinksma,Reflectie op de digitale cultuur,w1,C1.112,Tue,13
Wulfert Brinksma,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Wulfert Brinksma,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Ilyass Broeks,Bioinformatica,p1,A1.06,Fri,15
Ilyass Broeks,Bioinformatica,h2,B0.201,Mon,15
Ilyass Broeks,Zoeken sturen en bewegen,p1,B0.201,Fri,15
Ilyass Broeks,Bioinformatica,w1,A1.06,Thu,11
Ilyass Broeks,Analysemethoden en -technieken,h1,A1.10,Tue,15
Ilyass Broeks,Bioinformatica,h1,C0.110,Fri,13
Ilyass Broeks,Bioinformatica,h3,A1.10,Mon,11
Ethan Broer,Software engineering,p1,A1.08,Tue,15
Ethan Broer,Algoritmen en complexiteit,h1,C0.110,Mon,17
Ethan Broer,Software engineering,w1,C1.112,Wed,11
Ethan Broer,Kansrekenen 2,h1,C0.110,Mon,11
Ethan Broer,Algoritmen en complexiteit,w1,B0.201,Tue,11
Ethan Broer,Algoritmen en complexiteit,p1,C0.110,Tue,9
Ethan Broer,Kansrekenen 2,h2,A1.04,Fri,15
Ethan Broer,Software engineering,h1,B0.201,Mon,13
Tarah Broerse,Autonomous Agents 2,p1,A1.08,Fri,15
Tarah Broerse,Autonomous Agents 2,h2,C0.110,Tue,17
Tarah Broerse,Lineaire Algebra,h1,C1.112,Tue,11
Tarah Broerse,Autonomous Agents 2,h1,A1.06,Tue,15
Tarah Broerse,Lineaire Algebra,h2,A1.10,Fri,15
Tarah Broerse,Autonomous Agents 2,w1,A1.10,Fri,11
Devlin Bronsema,Databases 2,w1,A1.04,Mon,11
Devlin Bronsema,Programmeren in Java 2,p1,C1.112,Thu,13
Devlin Bronsema,Informatie- en organisatieontwerp,h1,A1.06,Tue,11
Devlin Bronsema,Informatie- en organisatieontwerp,p1,A1.08,Tue,9
Devlin Bronsema,Informatie- en organisatieontwerp,h2,C0.110,Tue,13
Devlin Bronsema,Informatie- en organisatieontwerp,w1,A1.06,Fri,13
Devlin Bronsema,Databases 2,h1,A1.10,Wed,13
Sayfeddine Bruijnes,Data Mining,h2,C0.110,Thu,17
Sayfeddine Bruijnes,Programmeren in Java 2,p1,C1.112,Thu,13
Sayfeddine Bruijnes,Data Mining,w1,B0.201,Wed,9
Sayfeddine Bruijnes,Data Mining,h1,C1.112,Mon,13
Sayfeddine Bruijnes,Data Mining,p1,B0.201,Thu,11
Sayfeddine Bruijnes,Lineaire Algebra,h1,C1.112,Tue,11
Sayfeddine Bruijnes,Lineaire Algebra,h2,A1.10,Fri,15
Sayfeddine Bruijnes,Kansrekenen 2,h1,C0.110,Mon,11
Sayfeddine Bruijnes,Kansrekenen 2,h2,A1.04,Fri,15
Virginie Brunsveld,Collectieve Intelligentie,h2,A1.06,Fri,11
Virginie Brunsveld,Moderne Databases,h1,C0.110,Thu,9
Virginie Brunsveld,Lineaire Algebra,h1,C1.112,Tue,11
Virginie Brunsveld,Lineaire Algebra,h2,A1.10,Fri,15
Virginie Brunsveld,Collectieve Intelligentie,h1,A1.06,Thu,13
Virginie Brunsveld,Autonomous Agents 2,w1,A1.10,Wed,9
Virginie Brunsveld,Autonomous Agents 2,p1,C0.110,Fri,15
Virginie Brunsveld,Collectieve Intelligentie,h3,A1.04,Fri,9
Virginie Brunsveld,Databases 2,w1,A1.06,Thu,15
Virginie Brunsveld,Moderne Databases,w1,A1.04,Mon,15
Virginie Brunsveld,Autonomous Agents 2,h1,A1.06,Tue,15
Virginie Brunsveld,Moderne Databases,p1,A1.06,Tue,13
Virginie Brunsveld,Collectieve Intelligentie,p1,B0.201,Wed,15
Virginie Brunsveld,Autonomous Agents 2,h2,C0.110,Tue,17
Virginie Brunsveld,Collectieve Intelligentie,w1,B0.201,Tue,9
Virginie Brunsveld,Databases 2,h1,A1.10,Wed,13
Angus Brusse,Databases 2,w1,A1.06,Thu,15
Angus Brusse,Netwerken en systeembeveiliging,p1,A1.08,Mon,9
Angus Brusse,Databases 2,h1,A1.10,Wed,13
Allan Budel,Heuristieken 2,h1,A1.04,Tue,15
Allan Budel,Project Genetic Algorithms,p1,A1.08,Fri,13
Allan Budel,Calculus 2,h1,A1.10,Tue,9
Allan Budel,Heuristieken 2,w1,A1.04,Wed,9
Allan Budel,Calculus 2,w1,B0.201,Fri,13
Wytske Buining,Databases 2,w1,A1.04,Mon,11
Wytske Buining,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Wytske Buining,Algoritmen en complexiteit,h1,C0.110,Mon,17
Wytske Buining,Compilerbouw,h2,A1.06,Mon,9
Wytske Buining,Compilerbouw,w1,A1.08,Thu,11
Wytske Buining,Compilerbouw,p1,A1.10,Mon,15
Wytske Buining,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Wytske Buining,Programmeren in Java 2,p1,A1.10,Fri,13
Wytske Buining,Algoritmen en complexiteit,w1,B0.201,Tue,11
Wytske Buining,Algoritmen en complexiteit,p1,A1.06,Mon,15
Wytske Buining,Reflectie op de digitale cultuur,w1,C1.112,Fri,9
Wytske Buining,Compilerbouw,h1,B0.201,Wed,13
Wytske Buining,Databases 2,h1,A1.10,Wed,13
Rika Buizer,Informatie- en organisatieontwerp,p1,A1.04,Fri,11
Rika Buizer,Informatie- en organisatieontwerp,h1,A1.06,Tue,11
Rika Buizer,Technology for games,h2,C0.110,Mon,15
Rika Buizer,Informatie- en organisatieontwerp,h2,C0.110,Tue,13
Rika Buizer,Technology for games,h1,A1.08,Mon,11
Rika Buizer,Informatie- en organisatieontwerp,w1,B0.201,Mon,9
Rika Buizer,Kansrekenen 2,h1,C0.110,Mon,11
Rika Buizer,Kansrekenen 2,h2,A1.04,Fri,15
Rika Buizer,Technology for games,w1,C1.112,Wed,13
Vivianne Buter,Advanced Heuristics,h1,C0.110,Wed,11
Vivianne Buter,Calculus 2,w1,C1.112,Fri,13
Vivianne Buter,Project Numerical Recipes,p1,A1.08,Tue,13
Vivianne Buter,Heuristieken 1,w1,B0.201,Wed,11
Vivianne Buter,Heuristieken 1,h1,A1.08,Mon,13
Vivianne Buter,Advanced Heuristics,p1,A1.06,Wed,11
Vivianne Buter,Calculus 2,h1,A1.10,Tue,9
Vivianne Buter,Programmeren in Java 2,p1,A1.10,Tue,13
Abdül Buth,Informatie- en organisatieontwerp,p1,A1.04,Fri,11
Abdül Buth,Informatie- en organisatieontwerp,h1,A1.06,Tue,11
Abdül Buth,Informatie- en organisatieontwerp,h2,C0.110,Tue,13
Abdül Buth,Informatie- en organisatieontwerp,w1,B0.201,Mon,9
Abdül Buth,Architectuur en computerorganisatie,h2,A1.06,Thu,9
Abdül Buth,Architectuur en computerorganisatie,h1,A1.08,Wed,13
Donné Buurma,Reflectie op de digitale cultuur,w1,C1.112,Tue,13
Donné Buurma,Reflectie op de digitale cultuur,h1,B0.201,Fri,11
Donné Buurma,Reflectie op de digitale cultuur,h2,C1.112,Mon,9
Donné Buurma,Kansrekenen 2,h1,C0.110,Mon,11
Donné Buurma,Kansrekenen 2,h2,A1.04,Fri,15
Lucienne Caris,Technology for games,h2,C0.110,Mon,15
Lucienne Caris,Algoritmen en complexiteit,h1,C0.110,Mon,17
Lucienne Caris,Compilerbouw,h2,A1.06,Mon,9
Lucienne Caris,Compilerbouw,w1,A1.08,Thu,11
